443,62353,5
51612,53,2
19266,53,1
80,61589,5
80,61634,5
443,57153,7
19242,53,1
53,28885,1
19223,53,1
53,5114,1
53,48973,2
443,46696,52
51518,53,2
51506,53,2
51504,53,2
50784,443,2
443,56367,4
51483,53,2
51480,53,2
19134,53,1
19132,53,1
50744,443,6
53,13391,1
443,38430,7
443,47510,45
65518,443,5
443,57416,15
65484,443,5
53,34162,2
443,52917,4
51315,53,2
65427,443,5
443,43152,21
53,5856,1
53,42892,1
53,37692,1
443,61758,12
18919,53,1
65378,443,6
443,39408,39
18904,53,1
65363,443,6
51237,53,2
65343,443,6
18877,53,1
18873,53,1
53,16680,1
51211,53,2
53,39892,2
443,39514,16
18867,53,1
443,55666,7
18840,53,1
443,39172,6
65282,443,6
443,50466,5
443,55772,6
53,45969,1
51141,53,2
51130,53,2
443,39278,7
65240,443,5
65238,443,6
443,53225,6
443,61243,16
443,39384,6
62124,443,2
65185,443,5
65179,443,5
18717,53,1
65176,443,9
51054,53,2
65174,443,5
443,39490,6
50340,443,4
443,48074,223
51042,53,2
65157,443,6
443,56090,24
65147,443,5
65137,443,5
51015,53,2
443,39596,7
65124,443,5
65120,443,6
443,56255,7
443,39702,7
53,4157,1
50958,53,2
50949,53,2
50920,53,2
18570,53,1
50885,53,2
123,123,1
443,61500,22
53,40952,2
53,38405,2
18464,53,1
18435,53,1
64881,443,5
53,59717,1
80,55366,3
443,59591,7
53,48652,2
18367,53,1
443,64749,6
80,61586,4
53,65235,1
18339,53,1
18335,53,1
53,56823,2
64751,443,6
443,57256,5
49916,443,4
18280,53,1
53,44241,2
53,60141,1
443,62003,1
50595,53,2
18247,53,1
64707,443,5
50584,53,2
64704,443,6
64688,443,6
64684,443,6
443,52221,4
50559,53,2
18217,53,1
53,45012,1
443,65427,5
53,21241,1
50540,53,2
53,49182,2
443,57633,6
53,13388,1
18158,53,1
18155,53,1
50484,53,2
18134,53,1
53,26759,1
49746,443,4
50438,53,2
443,42786,838
443,61955,20
53,16359,1
50390,53,2
18041,53,1
50378,53,2
64492,443,5
53,45542,1
443,61755,19
17995,53,1
64448,443,5
50317,53,2
53,49818,2
53,32489,1
53,43101,1
443,63575,13
53,53713,1
17924,53,1
17911,53,1
443,61914,11
50225,53,2
64341,443,6
443,63787,7
61862,80,7
61861,80,14
443,40056,23
50189,53,2
443,55875,4
17847,53,1
50151,53,2
53,46178,1
8801,57299,1759
61795,80,7
17799,53,1
53,53001,2
37026,443,4
37024,443,4
37014,443,4
50103,53,2
53,25166,1
53,47801,2
443,61461,32
36998,443,199
36994,443,11
36992,443,13
50067,53,2
64187,443,5
