443,62353,1
51612,53,1
19266,53,1
80,61589,1
80,61634,1
443,57153,1
19242,53,1
53,28885,1
19223,53,1
53,5114,1
53,48973,1
443,46696,1
51518,53,1
51506,53,1
51504,53,1
50784,443,1
443,56367,1
51483,53,1
51480,53,1
19134,53,1
19132,53,1
50744,443,1
53,13391,1
443,38430,1
443,47510,1
65518,443,1
443,57416,1
65484,443,1
53,34162,1
443,52917,1
51315,53,1
65427,443,1
443,43152,1
53,5856,1
53,42892,1
53,37692,1
443,61758,1
18919,53,1
65378,443,1
443,39408,1
18904,53,1
65363,443,1
51237,53,1
65343,443,1
18877,53,1
18873,53,1
53,16680,1
51211,53,1
53,39892,1
443,39514,1
18867,53,1
443,55666,1
18840,53,1
443,39172,1
65282,443,1
443,50466,1
443,55772,1
53,45969,1
51141,53,1
51130,53,1
443,39278,1
65240,443,1
65238,443,1
443,53225,1
443,61243,1
443,39384,1
62124,443,1
65185,443,1
65179,443,1
18717,53,1
65176,443,1
51054,53,1
65174,443,1
443,39490,1
50340,443,1
443,48074,1
51042,53,1
65157,443,1
443,56090,1
65147,443,1
65137,443,1
51015,53,1
443,39596,1
65124,443,1
65120,443,1
443,56255,1
443,39702,1
53,4157,1
50958,53,1
50949,53,1
50920,53,1
18570,53,1
50885,53,1
123,123,1
443,61500,1
53,40952,1
53,38405,1
18464,53,1
18435,53,1
64881,443,1
53,59717,1
80,55366,1
443,59591,1
53,48652,1
18367,53,1
443,64749,1
80,61586,1
53,65235,1
18339,53,1
18335,53,1
53,56823,1
64751,443,1
443,57256,1
49916,443,1
18280,53,1
53,44241,1
53,60141,1
443,62003,1
50595,53,1
18247,53,1
64707,443,1
50584,53,1
64704,443,1
64688,443,1
64684,443,1
443,52221,1
50559,53,1
18217,53,1
53,45012,1
443,65427,1
53,21241,1
50540,53,1
53,49182,1
443,57633,1
53,13388,1
18158,53,1
18155,53,1
50484,53,1
18134,53,1
53,26759,1
49746,443,1
50438,53,1
443,42786,1
443,61955,1
53,16359,1
50390,53,1
18041,53,1
50378,53,1
64492,443,1
53,45542,1
443,61755,1
17995,53,1
64448,443,1
50317,53,1
53,49818,1
53,32489,1
53,43101,1
443,63575,1
53,53713,1
17924,53,1
17911,53,1
443,61914,1
50225,53,1
64341,443,1
443,63787,1
61862,80,1
61861,80,1
443,40056,1
50189,53,1
443,55875,1
17847,53,1
50151,53,1
53,46178,1
8801,57299,1
61795,80,1
17799,53,1
53,53001,1
37026,443,1
37024,443,1
37014,443,1
50103,53,1
53,25166,1
53,47801,1
443,61461,1
36998,443,1
36994,443,1
36992,443,1
50067,53,1
64187,443,1
61710,80,1
50051,53,1
64172,443,1
53,1501,1
59260,443,1
59258,443,1
17706,53,1
17705,53,1
59256,443,1
443,46852,1
443,53705,1
53,14766,1
443,61605,1
17693,53,1
53,49149,1
50017,53,1
50012,53,1
50006,53,1
64124,443,1
64112,443,1
49274,443,1
64084,443,1
49959,53,1
17617,53,1
17608,53,1
49943,53,1
443,61923,1
49922,53,1
53,49467,1
17581,53,1
49919,53,1
64039,443,1
17562,53,1
49901,53,1
17554,53,1
61536,80,1
49879,53,1
36740,443,1
80,61416,1
80,61928,1
49818,53,1
36728,443,1
36726,443,1
63936,443,1
17462,53,1
17456,53,1
443,55937,1
80,61522,1
36690,443,1
36688,443,1
36686,443,1
36684,443,1
17431,53,1
63887,443,1
63876,443,1
49737,53,1
17395,53,1
36634,443,1
36632,443,1
17373,53,1
36600,443,1
53,65444,1
63802,443,1
53,39597,1
49670,53,1
443,62724,1
63764,443,1
49640,53,1
80,61946,1
49637,53,1
49626,53,1
49621,53,1
443,38318,1
80,62052,1
17245,53,1
63705,443,1
53,51938,1
53,54591,1
17217,53,1
443,49976,1
17208,53,1
49547,53,1
63663,443,1
443,57410,1
443,50292,1
443,38530,1
53,5638,1
49518,53,1
63611,443,1
443,62060,1
49472,53,1
49469,53,1
53,29621,1
443,50784,1
443,62131,1
17117,53,1
17111,53,1
53,21768,1
53,60880,1
63540,443,1
53,60321,1
36324,443,1
36322,443,1
53,13915,1
17063,53,1
17058,53,1
443,61647,1
49389,53,1
49370,53,1
443,44558,1
63470,443,1
49336,53,1
53,14127,1
53,16780,1
49331,53,1
49330,53,1
443,39166,1
443,44770,1
443,39272,1
36186,443,1
36184,443,1
443,51314,1
36182,443,1
63384,443,1
63378,443,1
53,37551,1
53,56681,1
36158,443,1
443,39378,1
16898,53,1
63358,443,1
63350,443,1
80,61973,1
49213,53,1
443,39484,1
443,46430,1
443,61449,1
49182,53,1
443,39590,1
53,64275,1
443,56952,1
16780,53,1
443,62090,1
443,48882,1
63203,443,1
443,61767,1
63177,443,1
16680,53,1
35924,443,1
35922,443,1
16671,53,1
44142,443,1
49004,53,1
53,32987,1
53,15081,1
35906,443,1
63110,443,1
443,62112,1
443,51414,1
48973,53,1
63093,443,1
35880,443,1
16630,53,1
35878,443,1
16606,53,1
16604,53,1
443,60636,1
53,56393,1
443,61599,1
16591,53,1
53,43811,1
48914,53,1
16572,53,1
63025,443,1
16561,53,1
48877,53,1
53,41929,1
16513,53,1
53,18158,1
51230,443,1
443,49244,1
62942,443,1
443,62509,1
80,61731,1
53,44794,1
16403,53,1
51126,443,1
16384,53,1
53,34394,1
443,59011,1
80,61943,1
16359,53,1
443,49609,1
53,57135,1
16341,53,1
48678,53,1
49792,443,1
53,42459,1
443,57813,1
53,53071,1
53,46629,1
48652,53,1
16303,53,1
53,55830,1
48621,53,1
53,60559,1
53,34712,1
443,55186,1
48597,53,1
48596,53,1
16245,53,1
53,44765,1
53,29512,1
16237,53,1
53,11047,1
16218,53,1
16204,53,1
48542,53,1
48515,53,1
443,49802,1
48480,53,1
53,42430,1
443,52020,1
62578,443,1
53,48401,1
53,16671,1
443,51714,1
53,59013,1
48429,53,1
16076,53,1
48415,53,1
48385,53,1
3722,3722,1
443,61234,1
15997,53,1
48323,53,1
62429,443,1
443,55975,1
15966,53,1
48304,53,1
15964,53,1
62419,443,1
48292,53,1
443,53306,1
443,50775,1
443,53428,1
15921,53,1
62353,443,1
