192.168.3.5,192.168.3.1,31894
192.168.3.5,192.168.3.1,20150
192.168.3.59,192.168.3.1,33360
192.168.3.59,216.58.207.196,256275
192.168.3.1,192.168.3.59,154440
192.168.3.1,192.168.3.5,31889
192.168.3.1,192.168.3.5,32929
192.168.3.59,216.58.207.196,174399
192.168.3.5,192.168.3.1,10248
192.168.3.5,192.168.3.1,8662
192.168.3.7,239.255.255.250,96960
192.168.3.59,239.255.255.250,95520
192.168.3.5,239.255.255.250,97440
192.168.3.5,192.168.3.1,9000
192.168.3.14,239.255.255.250,96960
192.168.3.1,192.168.3.5,43800
192.168.3.1,192.168.3.5,42360
192.168.3.14,239.255.255.250,154560
192.168.3.14,192.168.3.255,22896
192.168.3.10,239.255.255.250,87696
192.168.3.14,192.168.3.255,15392
192.168.3.5,192.168.3.1,6900
fe80::21c:42ff:feb7:68ed,fe80::aa5a:e0ff:fee8:b0fa,7056
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,6840
216.58.207.196,192.168.3.59,284240
192.168.3.1,192.168.3.5,11900
192.168.3.5,192.168.3.66,4212
192.168.3.66,192.168.3.5,3120
192.168.3.10,192.168.3.255,16112
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,4800
192.168.3.59,192.168.3.1,8496
192.168.3.5,192.168.3.1,5360
192.168.3.5,192.168.3.1,4356
192.168.3.1,192.168.3.5,23496
192.168.3.1,192.168.3.5,22464
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,4536
216.58.207.196,192.168.3.59,185220
192.168.3.1,192.168.3.5,21328
192.168.3.59,192.168.3.1,9150
192.168.3.1,192.168.3.5,20608
192.168.3.5,172.217.21.163,125766
192.168.3.5,192.168.3.62,2704
192.168.3.1,192.168.3.5,17264
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffce:e3c1,3600
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffc9:6333,3600
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffb7:68ed,3600
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff9e:935d,3600
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff09:e981,3600
192.168.3.59,192.168.3.1,6500
fe80::aa5a:e0ff:fee8:b0fa,fe80::21c:42ff:feb7:68ed,3136
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,3920
192.168.3.62,192.168.3.5,1960
192.168.3.59,192.168.3.1,5978
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffa3:76b2,13824
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff5f:478,13824
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff4d:a581,13824
216.58.207.196,192.168.3.59,143568
192.168.3.5,192.168.3.1,2880
192.168.3.5,172.217.22.174,154896
216.58.211.3,192.168.3.5,93201
192.168.3.59,192.168.3.1,5922
192.168.3.5,192.168.3.1,2898
192.168.3.1,192.168.3.59,21252
216.58.207.196,192.168.3.59,131692
192.168.3.59,192.168.3.1,5456
192.168.3.5,192.168.3.1,2752
192.168.3.1,192.168.3.5,13201
192.168.3.1,192.168.3.5,6665
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff63:5e33,2952
192.168.3.59,192.168.3.1,5248
192.168.3.5,192.168.3.1,2480
fe80::aa5a:e0ff:fee8:b0fa,ff02::1,4992
172.217.22.174,192.168.3.5,83070
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,2304
216.58.207.196,192.168.3.59,108144
216.58.207.196,192.168.3.59,105876
192.168.3.5,192.168.3.62,1152
192.168.3.5,172.217.22.174,116208
192.168.3.5,172.217.22.174,116136
192.168.3.1,192.168.3.5,12705
192.168.3.59,192.168.3.1,4488
192.168.3.1,192.168.3.5,12478
172.217.22.174,192.168.3.5,72454
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffc5:93bc,2376
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffa0:721,2376
216.58.207.227,192.168.3.5,84117
216.58.207.196,192.168.3.59,96987
192.168.3.5,172.217.21.174,114840
192.168.3.1,192.168.3.5,12507
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,3392
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,3392
192.168.3.5,172.217.21.174,111392
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ff3d:5487,2232
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,5084
192.168.3.5,192.168.3.66,992
192.168.3.5,172.217.22.174,101928
192.168.3.1,192.168.3.5,10509
216.58.207.196,192.168.3.59,88560
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffa9:92a8,2088
192.168.3.5,192.168.3.1,2117
192.168.3.5,216.58.211.3,57344
fe80::862:283d:dda0:721,ff02::16,4104
192.168.3.5,192.168.3.1,1534
192.168.3.5,172.217.22.174,85462
172.217.22.174,192.168.3.5,55432
fe80::aa5a:e0ff:fee8:b0fa,ff02::1:ffd3:9f8b,1800
fe80::aa5a:e0ff:fee8:b0fa,fe80::106c:31c9:ec9:6333,21300
192.168.3.66,224.0.0.22,2000
192.168.3.1,192.168.3.5,8650
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,2064
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,9456
172.217.22.174,192.168.3.5,51192
172.217.21.163,192.168.3.5,55032
fe80::106c:31c9:ec9:6333,fe80::aa5a:e0ff:fee8:b0fa,4094
192.168.3.5,172.217.22.174,75578
192.168.3.5,172.217.21.174,81811
192.168.3.1,192.168.3.59,16514
192.168.3.5,172.217.22.174,70950
192.168.3.5,172.217.21.174,76604
